ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
511760.SH,德邦现金宝货币ETF-E,德邦现金宝货币ETF-E,德邦现金宝交易型货币市场基金-E,,,20161128,20161215,D,SH,德邦基金,国泰海通证券股份有限公司,,纯境内,七天通知存款利率(税后)×100%,20180612,七天通知存款利率税后,,,,0,False,ambiguous_or_non_theme_or_unmatched
511890.SH,景顺长城货币ETF,景顺长城货币ETF,景顺长城交易型货币市场基金,,,20150716,20150803,D,SH,景顺长城基金,中国银河证券股份有限公司,,纯境内,七天通知存款税后利率(税后)×100%,20180412,七天通知存款税后利率税后,,,,0,False,ambiguous_or_non_theme_or_unmatched
512110.SH,华安中证细分地产ETF,华安中证细分地产ETF,华安中证细分地产交易型开放式指数证券投资基金,,,20131204,20140106,D,SH,华安基金,中国建设银行股份有限公司,,纯境内,中证细分房地产产业主题指数×100%,20170113,中证细分房地产产业主题,000816.CSI,中证细分房地产产业主题指数,real_estate_infra,1,True,exact_normalized_benchmark
512210.SH,景顺长城中证800食品饮料ETF,景顺长城中证800食品饮料ETF,景顺长城中证800食品饮料交易型开放式指数证券投资基金,,,20140718,20140819,D,SH,景顺长城基金,中国银行股份有限公司,,纯境内,中证800食品饮料指数×100%,20180831,中证800食品饮料,H30020.CSI,中证800食品饮料指数,consumer,1,True,exact_normalized_benchmark
512230.SH,景顺长城中证医药卫生ETF,景顺长城中证医药卫生ETF,景顺长城中证医药卫生交易型开放式指数证券投资基金,,,20140718,20140819,D,SH,景顺长城基金,中国银行股份有限公司,,纯境内,中证医药卫生指数×100%,20190123,中证医药卫生,000933.SH,中证医药卫生指数,healthcare,1,True,exact_normalized_benchmark
512270.SH,华安沪深300行业中性低波动ETF,华安沪深300行业中性低波动ETF,华安沪深300行业中性低波动交易型开放式指数证券投资基金,,,20190307,20190329,D,SH,华安基金,中国建设银行股份有限公司,,纯境内,沪深300行业中性低波动指数收益率×100%,20210923,沪深300行业中性低波动,930846.CSI,沪深300行业中性低波动指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512280.SH,景顺长城MSCI中国A股国际通ETF,景顺长城MSCI中国A股国际通ETF,景顺长城MSCI中国A股国际通交易型开放式指数证券投资基金,,,20180427,20180525,D,SH,景顺长城基金,中国农业银行股份有限公司,,纯境内,MSCI中国A股国际通指数×100%,20250821,MSCI中国A股国际通,,,,0,False,ambiguous_or_non_theme_or_unmatched
512300.SH,南方中证500医药卫生指数ETF,南方中证500医药卫生指数ETF,中证500医药卫生指数交易型开放式指数证券投资基金,,,20141030,20141218,D,SH,南方基金,中国农业银行股份有限公司,,纯境内,中证500医药卫生指数×100%,20210312,中证500医药卫生,H30255.CSI,中证500医药卫生指数,healthcare,1,True,exact_normalized_benchmark
512310.SH,南方中证500工业指数ETF,南方中证500工业指数ETF,中证500工业指数交易型开放式指数证券投资基金,,,20150408,20150508,D,SH,南方基金,中国农业银行股份有限公司,,纯境内,中证500工业指数×100%,20210416,中证500工业,H30252.CSI,中证500工业指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512320.SH,工银瑞信MSCI中国A股ETF,工银瑞信MSCI中国A股ETF,工银瑞信MSCI中国A股交易型开放式指数证券投资基金,,,20200629,20200807,D,SH,工银瑞信基金,中信建投证券股份有限公司,,纯境内,MSCI中国A股人民币指数收益率×100%,20240416,MSCI中国A股,,,,0,False,ambiguous_or_non_theme_or_unmatched
