score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
pair:approach_velocity+relative_volume,approach_velocity+relative_volume,2,gap_led_breakout,10,438,0.03939974550249586,0.31351421096595977,1.9949703969908625,0.5136986301369864,0.0025734816087720036,2.329979780864272,0.01980721978489516,0.03483195663498661,True,0.8245755854982075
pair:approach_velocity+relative_volume,approach_velocity+relative_volume,2,shallow_breakout,20,1120,0.0246186577107458,0.2458024777079249,1.589931391796286,0.5285714285714286,0.0001520341177090214,2.387367578347677,0.016969514914307062,0.030285536532616005,True,0.8238978725402363
pair:volatility_contraction+continuous_move,volatility_contraction+continuous_move,2,gap_led_breakout,20,435,0.039496969074476806,0.30217757196857326,2.074922179652882,0.535632183908046,0.037409763568794864,3.137446820321149,0.0017042618739577518,0.00372483948167696,True,0.8237746028134924
pair:volatility_contraction+approach_velocity,volatility_contraction+approach_velocity,2,market_down,20,485,0.037399258729996894,0.22397645776853511,2.650701921181123,0.5731958762886598,0.007019491436002184,3.409305423273682,0.0006512851933708905,0.0015512652999004196,True,0.8236332366249711
single:range_compactness,range_compactness,1,volume_confirmed,1,1269,0.023033169003296463,0.19520529850659826,1.8731060341494994,0.5587076438140268,0.007728997669052369,4.204981484699126,2.611035309234155e-05,7.965870434951661e-05,True,0.8205111842811011
pair:pre_acceleration+continuous_move,pre_acceleration+continuous_move,2,all,10,1271,0.022973604297347038,0.2062422672646567,1.7682828402459443,0.5594020456333596,0.00954532582652281,3.4392055458645614,0.0005834240791979243,0.0014022209628791313,True,0.8190339641287689
pair:pre_acceleration+continuous_move,pre_acceleration+continuous_move,2,volatility_contracting,10,1271,0.022973604297347038,0.2062422672646567,1.7682828402459443,0.5594020456333596,0.00954532582652281,3.4392055458645614,0.0005834240791979243,0.0014022209628791313,True,0.8190339641287689
pair:volatility_contraction+trend_flatness,volatility_contraction+trend_flatness,2,pre_decelerating,10,925,0.026925220442559527,0.2605537000030501,1.640447338551041,0.5362162162162162,0.0019251043782811182,2.766433155184669,0.005667320222023774,0.011245391306692843,True,0.8188986101401037
pair:volatility_contraction+approach_velocity,volatility_contraction+approach_velocity,2,wide_box,20,1120,0.02445608734700585,0.24602688952262405,1.5779915428122528,0.5392857142857143,0.021121976936664223,2.7425245858510796,0.0060968885543588435,0.012012634211871999,True,0.8184572275466233
pair:volatility_contraction+approach_velocity,volatility_contraction+approach_velocity,2,strong_breakout,20,1137,0.02425046159135269,0.24062225473036544,1.5998692378925519,0.5461741424802111,0.037470092771399004,2.9016093926037057,0.003712511328197873,0.007637166160864196,True,0.8177117566518199
pair:range_compactness+direction_persistence,range_compactness+direction_persistence,2,wide_box,1,1135,0.024110817656712108,0.2371448507362627,1.6139813424925644,0.5453744493392071,0.01392187260608635,3.426790654769955,0.0006107597332210878,0.0014602604627297355,True,0.8122876857157045
pair:volatility_contraction+continuous_move,volatility_contraction+continuous_move,2,strong_breakout,3,1151,0.023923175184336985,0.25024637737638855,1.517578942137993,0.5395308427454387,0.023616837085038093,3.1789188948712157,0.0014782544783369254,0.0032908138563684207,True,0.8116269930494234
pair:trend_flatness+continuous_move,trend_flatness+continuous_move,2,continuous_breakout,20,1216,0.023269818468004955,0.20797006694773043,1.7762023244075607,0.5608552631578947,0.01885485121092409,3.0640551723741005,0.0021835863599289312,0.004685089507893492,True,0.8114462970925606
single:continuous_move,continuous_move,1,gap_led_breakout,5,440,0.038567485130579816,0.313272674331989,1.9543353003822992,0.55,0.07373481882715063,2.597391927310474,0.009393467471855915,0.01781824465869545,True,0.8089983931324572
