score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,market_low_vol,3,628,-0.025260385500042476,0.18061482948511084,-2.2201731135341944,0.428343949044586,-0.03344555923005003,-3.5622145167267396,0.0003677397038233675,0.0009196027656712861,False,-0.31651172311762593
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,market_up,1,776,-0.022730737124736087,0.16012950741066784,-2.2534214407467243,0.43427835051546393,-0.016271715761855033,-3.956881295314089,7.593464034302121e-05,0.0002146441880700095,False,-0.316602532499928
pair:range_compactness+pre_acceleration,range_compactness+pre_acceleration,2,shallow_breakout,10,1125,-0.018884649021369743,0.24431383332908185,-1.2270468084379935,0.45866666666666667,-0.013262164711003497,-2.198238407754926,0.027932120997675693,0.04736806521813105,False,-0.31670519207255715
pair:range_compactness+pre_acceleration,range_compactness+pre_acceleration,2,strong_breakout,10,1144,-0.01874617476745229,0.24724221889315104,-1.2036225048570806,0.47465034965034963,-0.01739796457127083,-2.5386976786736377,0.011126592500558268,0.020769639334375433,False,-0.31702658179684773
pair:breakout_acceleration+continuous_move,breakout_acceleration+continuous_move,2,pre_decelerating,1,935,-0.020771168158985304,0.2711455396448213,-1.2160704275858383,0.4577540106951872,-0.04551055601964628,-2.343670911423557,0.019095011335138183,0.03366171987726353,False,-0.3175679982122215
pair:direction_persistence+relative_volume,direction_persistence+relative_volume,2,market_down,1,504,-0.028315479491553754,0.24084035964880549,-1.8663578753355954,0.44642857142857145,-0.009311800206747331,-2.6420510033174684,0.008240564546778241,0.015821883929814224,False,-0.31784046899885443
pair:trend_flatness+relative_volume,trend_flatness+relative_volume,2,market_low_vol,3,628,-0.025384208388793475,0.1801134003617965,-2.237267271288462,0.40923566878980894,-0.006029528497718933,-3.3356541434338802,0.0008509896180415228,0.001980142047520441,False,-0.3180632194667183
pair:volatility_contraction+relative_volume,volatility_contraction+relative_volume,2,market_down,20,485,-0.0289227633792752,0.25641214315448524,-1.7906118997856768,0.43711340206185567,-0.03763185897651538,-1.634446787186729,0.10216507093529832,0.14570230829482272,False,-0.31847889534644525
pair:trend_flatness+pre_acceleration,trend_flatness+pre_acceleration,2,market_low_vol,3,628,-0.012713059729989469,0.1762032530643316,-1.1453452940275208,0.482484076433121,0.00013439852232894318,-1.6720482108720522,0.09451481571454505,0.13623414128388503,False,-0.31858836368348387
pair:range_compactness+breakout_acceleration,range_compactness+breakout_acceleration,2,market_low_vol,1,628,-0.025433901306814537,0.1792639303610738,-2.2522694083227806,0.43312101910828027,-0.028543268358293565,-3.5583276961039503,0.0003732235000488258,0.0009316723329599217,False,-0.31868586994485776
pair:volatility_contraction+breakout_strength,volatility_contraction+breakout_strength,2,gap_led_breakout,1,441,-0.030376657661287654,0.305364853452773,-1.579142083793381,0.4671201814058957,-0.048246793517994574,-2.0913811454466216,0.03649391097041254,0.06028492667678768,False,-0.3189549054435204
pair:trend_flatness+breakout_acceleration,trend_flatness+breakout_acceleration,2,volume_weak,5,83,-0.07005716084710822,0.3251304634790091,-3.420543676726242,0.4457831325301205,-0.07633562253000094,-2.051619879781134,0.04020661864440716,0.06526291721990726,False,-0.319125555320504
single:consolidation_age,consolidation_age,1,pre_decelerating,10,925,-0.020986735683085702,0.2663310640619962,-1.2509021501652131,0.4681081081081081,-0.02377084154812602,-2.3535743333270123,0.018593889821275664,0.03288182621025591,False,-0.31914332361586584
pair:breakout_acceleration+continuous_move,breakout_acceleration+continuous_move,2,pre_decelerating,5,931,-0.02094625497939487,0.27243115988612115,-1.2205339858361144,0.4522019334049409,-0.035643824137497754,-2.2391608864351236,0.025145449792678493,0.04320936479887474,False,-0.3195591304528626
pair:volatility_contraction+pre_acceleration,volatility_contraction+pre_acceleration,2,strong_breakout,20,1137,-0.018993575100013083,0.24933717592978238,-1.2092607378407612,0.4547053649956025,-0.008093769363375813,-2.2904538127243894,0.021995023099030304,0.03833157552528103,False,-0.320226268717049
pair:trend_flatness+relative_volume,trend_flatness+relative_volume,2,wide_box,20,1120,-0.019144276926175527,0.2519755499623534,-1.2060931098524452,0.4705357142857143,-0.032071951403010245,-1.5962334682661994,0.11043667793922772,0.15595428882423865,False,-0.3203450248205941
